Round,Player,Team,Age,POS1,POS2,Price,Priced at,PTS,MP,AVG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,,Total base,,Base exceeds price premium
1,R. Mulitalo,CRO,,WFB,,555000,41.11,16,80,16,,,,,,4,,2,4,,,,-4,,,11,,2,-2,,,,-1,,,15,,-26.11
1,L. Patea,PEN,,MID,,250000,18.52,16,14,16,,,,,,,,16,,-2,,,,,,2,,,,,,,,,,16,,-2.5199999999999996
1,D. Atkinson,CRO,,HLF,WFB,449000,33.26,12,13,12,,,,,,,,10,,,,,,,,2,,,,,,,,,,12,,-21.259999999999998
1,C. McLean,PEN,,CTR,WFB,446000,33.04,2,3,2,,,,,,,,,2,,,,-2,,,2,,,,,,,,,,2,,-31.04
1,P. Haas,BRI,,MID,,825000,61.11,81,49,81,,,,,5,,2,22,18,,,16,,4,,16,,,-2,,,,,,,72,,10.89
1,C. Watson,SYD,,MID,HOK,663000,49.11,65,80,65,,,,,,,,49,6,-2,,4,,4,,4,,,,,,,,,,61,,11.89
1,A. Reynolds,BRI,,HLF,,622000,46.07,65,80,65,,,14,,10,,2,18,6,-6,2,,,,,5,10,,,,,4,,,,58,,11.93
1,P. Carrigan,BRI,,MID,,770000,57.04,63,67,63,,,,,5,,2,21,2,-4,2,8,,4,,24,,,,,,,-1,,,53,,-4.039999999999999
1,J. Riki,BRI,,EDG,,541000,40.07,62,80,62,,,,,,4,,34,4,-2,,,,8,,14,,,,,,,,,,50,,9.93
1,R. Toia,SYD,,CTR,,230000,17.04,61,80,61,,,,,10,4,2,23,10,-2,,,,,,14,,,,,,,,,,45,,27.96
1,G. Shibasaki,BRI,,CTR,,300000,22.22,54,74,54,8,,,,5,,4,12,4,,,4,,4,,13,,,,,,,,,,33,,10.780000000000001
1,J. Arthars,BRI,,CTR,WFB,346000,25.63,53,80,53,8,,,,10,12,,4,4,-4,,4,,,,14,,1,,,,,,,,28,,2.370000000000001
1,B. Hunt,BRI,,HLF,,681000,50.44,48,80,48,8,5,,,,4,2,17,2,-6,,4,,,,6,2,1,,,,4,-1,,,30,,-20.439999999999998
1,R. Walsh,BRI,,WFB,,700000,51.85,47,80,47,8,,,,,4,2,5,4,-2,,4,-4,4,,22,1,1,-2,,,,,,,31,,-20.85
1,J. Gosiewski,BRI,,EDG,,250000,18.52,45,80,45,8,,,,,4,,13,2,,,4,,4,,10,,,,,,,,,,29,,10.48
1,S. Cobbo,BRI,,CTR,WFB,549000,40.67,44,80,44,24,,,,,4,,3,12,-8,,,-4,4,,9,,,,,,,,,,12,,-28.67
1,S. Smith,SYD,,HLF,,250000,18.52,44,80,44,8,5,2,,,4,,17,4,-8,,4,-2,,,10,1,,,,,,-1,,,28,,9.48
1,A. Crichton,SYD,,EDG,,728000,53.93,43,80,43,,,,,,,,28,2,-8,,12,-4,4,,12,,1,-4,,,,,,,43,,-10.93
1,N. Whyte,SYD,,MID,EDG,415000,30.74,43,48,43,,,,,,,,34,,-2,,4,,,,7,,,,,,,,,,43,,12.260000000000002
1,D. Mariner,BRI,,CTR,WFB,486000,36.00,42,80,42,,,,,5,,2,20,8,-6,,4,-6,8,,10,,,-2,,,,-1,,,32.5,,-3.5
1,S. Foketi,SYD,,EDG,,230000,17.04,41,52,41,,,,,,,,34,2,-6,,,-2,8,,5,,,,,,,,,,33,,15.96
1,S. Wong,SYD,,EDG,,344000,25.48,38,67,38,,,,,,,,41,,-8,,,,4,,3,,,-2,,,,,,,36,,10.52
1,D. Young,SYD,,WFB,,580000,42.96,35,80,35,16,,,,,4,,6,12,-10,,,-2,,,8,,1,,,,,,,,15,,-27.96
1,M. Nawaqanitawase,SYD,,WFB,CTR,350000,25.93,35,80,35,,,,,,,,10,12,-4,,8,-2,,,11,,,,,,,,,,35,,9.07
1,C. Townsend,SYD,,HLF,,450000,33.33,33,80,33,,,,,,,2,24,,-4,,,,,,1,10,,,,,,,,,31,,-2.3299999999999983
1,K. Hetherington,BRI,,MID,,414000,30.67,33,43,33,,,,,,4,,19,4,-6,,,,,,12,,,,,,,,,,29,,-1.6700000000000017
1,C. Paix,BRI,,HOK,HLF,300000,22.22,33,57,33,8,,,,,4,,22,,-6,,,,4,,1,,,,,,,,,,17,,-5.219999999999999
1,L. Collins,SYD,,MID,,525000,38.89,30,46,30,,,,,,,,32,,-4,,,-2,,,6,,,-2,,,,,,,32,,-6.890000000000001
1,C. Jensen,BRI,,MID,,624000,46.22,29,35,29,,,,,,,,18,,-2,2,,-2,4,,9,,,,,,,,,,25,,-21.22
1,X. Willison,BRI,,MID,EDG,485000,35.93,29,37,29,,,,,,,,18,4,-4,,,,,,14,,,-2,,,,-1,,,32,,-3.9299999999999997
1,B. Walters,BRI,,HOK,HLF,425000,31.48,29,29,29,,,,,5,,2,13,2,-4,,8,,,,3,,,,,,,,,,24.5,,-6.98
1,J. Tedesco,SYD,,WFB,,737000,54.59,28,80,28,,,,,,,,3,6,-2,,,,,,16,,5,-2,,,2,,,,30,,-24.590000000000003
1,B. Steep,SYD,,EDG,,250000,18.52,28,37,28,,,,,,,,32,2,-6,,,-2,,,2,,,,,,,,,,28,,9.48
1,T. Losalu,SYD,,MID,,230000,17.04,22,27,22,,,,,,,,16,,,,,-4,4,,5,,1,,,,,,,,18,,0.9600000000000009
1,Z. Dockar-Clay,SYD,,HOK,,250000,18.52,20,30,20,,,,,5,,2,14,2,-4,,,,,,3,,,-2,,,,,,,15,,-3.5199999999999996
1,D. Tupou,SYD,,WFB,,542000,40.15,16,80,16,,,,,,,,3,2,-2,,,,,,12,1,,,,,,,,,16,,-24.15
