Player,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG
W. Warbrick
MEL @ BRI | WFB
$540K  |  $22k ( -$16k ), -$16k ,40,43.9,,,,,,,,,31,,-2,,4,,,,5,,,,,,2,,, -$16k ,40,43.9,,,,,,,,,31,,-2,,4,,,,5,,,,,,2,,, -$16k ,40,43.9,,,,,,,,,31,,-2,,4,,,,5,,,,,,2,,, -$16k ,40,43.9,,,,,,,,,31,,-2,,4,,,,5,,,,,,2,,, -$16k ,40,43.9,,,,,,,,,31,,-2,,4,,,,5,,,,,,2,,, -$16k ,40,43.9,,,,,,,,,31,,-2,,4,,,,5,,,,,,2,,, -$16k ,40,43.9,,,,,,,,,31,,-2,,4,,,,5,,,,,,2,,, -$16k ,40,43.9,,,,,,,,,31,,-2,,4,,,,5,,,,,,2,,, -$16k ,40,43.9,,,,,,,,,31,,-2,,4,,,,5,,,,,,2,,, -$16k ,40,43.9,,,,,,,,,31,,-2,,4,,,,5,,,,,,2,,, -$16k ,40,43.9,,,,,,,,,31,,-2,,4,,,,5,,,,,,2,,, -$16k ,40,43.9,,,,,,,,,31,,-2,,4,,,,5,,,,,,2,,, -$16k ,40,43.9,,,,,,,,,31,,-2,,4,,,,5,,,,,,2,,, -$16k ,40,43.9,,,,,,,,,31,,-2,,4,,,,5,,,,,,2,,, -$16k ,40,43.9,,,,,,,,,31,,-2,,4,,,,5,,,,,,2,,, -$16k ,40,43.9,,,,,,,,,31,,-2,,4,,,,5,,,,,,2,,, -$16k ,40,43.9,,,,,,,,,31,,-2,,4,,,,5,,,,,,2,,, -$16k ,40,43.9,,,,,,,,,31,,-2,,4,,,,5,,,,,,2,,, -$16k ,40,43.9,,,,,,,,,31,,-2,,4,,,,5,,,,,,2,,, -$16k ,40,43.9,,,,,,,,,31,,-2,,4,,,,5,,,,,,2,,, -$16k ,40,43.9,,,,,,,,,31,,-2,,4,,,,5,,,,,,2,,, -$16k ,40,43.9,,,,,,,,,31,,-2,,4,,,,5,,,,,,2,,, -$16k ,40,43.9,,,,,,,,,31,,-2,,4,,,,5,,,,,,2,,, -$16k ,40,43.9,,,,,,,,,31,,-2,,4,,,,5,,,,,,2,,, -$16k ,40,43.9,,,,,,,,,31,,-2,,4,,,,5,,,,,,2,,, -$16k ,40,43.9,,,,,,,,,31,,-2,,4,,,,5,,,,,,2,,, -$16k ,40,43.9,,,,,,,,,31,,-2,,4,,,,5,,,,,,2,,, -$16k ,40,43.9,,,,,,,,,31,,-2,,4,,,,5,,,,,,2,,, -$16k ,40,43.9,,,,,,,,,31,,-2,,4,,,,5,,,,,,2,,, -$16k ,40,43.9,,,,,,,,,31,,-2,,4,,,,5,,,,,,2,,, -$16k ,40,43.9,,,,,,,,,31,,-2,,4,,,,5,,,,,,2,,, -$16k ,40,43.9,,,,,,,,,31,,-2,,4,,,,5,,,,,,2,,, -$16k ,40,43.9,,,,,,,,,31,,-2,,4,,,,5,,,,,,2,,, -$16k ,40,43.9,,,,,,,,,31,,-2,,4,,,,5,,,,,,2,,, -$16k ,40,43.9,,,,,,,,,31,,-2,,4,,,,5,,,,,,2,,
J. Hunt
BRI v MEL | MID, EDG
$328K  |  $78k ( $20k ), $20k ,39,28.6,,,,,,,,,32,,-8,,4,,4,,7,,,,,,,,, $20k ,39,28.6,,,,,,,,,32,,-8,,4,,4,,7,,,,,,,,, $20k ,39,28.6,,,,,,,,,32,,-8,,4,,4,,7,,,,,,,,, $20k ,39,28.6,,,,,,,,,32,,-8,,4,,4,,7,,,,,,,,, $20k ,39,28.6,,,,,,,,,32,,-8,,4,,4,,7,,,,,,,,, $20k ,39,28.6,,,,,,,,,32,,-8,,4,,4,,7,,,,,,,,, $20k ,39,28.6,,,,,,,,,32,,-8,,4,,4,,7,,,,,,,,, $20k ,39,28.6,,,,,,,,,32,,-8,,4,,4,,7,,,,,,,,, $20k ,39,28.6,,,,,,,,,32,,-8,,4,,4,,7,,,,,,,,, $20k ,39,28.6,,,,,,,,,32,,-8,,4,,4,,7,,,,,,,,, $20k ,39,28.6,,,,,,,,,32,,-8,,4,,4,,7,,,,,,,,, $20k ,39,28.6,,,,,,,,,32,,-8,,4,,4,,7,,,,,,,,, $20k ,39,28.6,,,,,,,,,32,,-8,,4,,4,,7,,,,,,,,, $20k ,39,28.6,,,,,,,,,32,,-8,,4,,4,,7,,,,,,,,, $20k ,39,28.6,,,,,,,,,32,,-8,,4,,4,,7,,,,,,,,, $20k ,39,28.6,,,,,,,,,32,,-8,,4,,4,,7,,,,,,,,, $20k ,39,28.6,,,,,,,,,32,,-8,,4,,4,,7,,,,,,,,, $20k ,39,28.6,,,,,,,,,32,,-8,,4,,4,,7,,,,,,,,, $20k ,39,28.6,,,,,,,,,32,,-8,,4,,4,,7,,,,,,,,, $20k ,39,28.6,,,,,,,,,32,,-8,,4,,4,,7,,,,,,,,, $20k ,39,28.6,,,,,,,,,32,,-8,,4,,4,,7,,,,,,,,, $20k ,39,28.6,,,,,,,,,32,,-8,,4,,4,,7,,,,,,,,, $20k ,39,28.6,,,,,,,,,32,,-8,,4,,4,,7,,,,,,,,, $20k ,39,28.6,,,,,,,,,32,,-8,,4,,4,,7,,,,,,,,, $20k ,39,28.6,,,,,,,,,32,,-8,,4,,4,,7,,,,,,,,, $20k ,39,28.6,,,,,,,,,32,,-8,,4,,4,,7,,,,,,,,, $20k ,39,28.6,,,,,,,,,32,,-8,,4,,4,,7,,,,,,,,, $20k ,39,28.6,,,,,,,,,32,,-8,,4,,4,,7,,,,,,,,, $20k ,39,28.6,,,,,,,,,32,,-8,,4,,4,,7,,,,,,,,, $20k ,39,28.6,,,,,,,,,32,,-8,,4,,4,,7,,,,,,,,, $20k ,39,28.6,,,,,,,,,32,,-8,,4,,4,,7,,,,,,,,, $20k ,39,28.6,,,,,,,,,32,,-8,,4,,4,,7,,,,,,,,, $20k ,39,28.6,,,,,,,,,32,,-8,,4,,4,,7,,,,,,,,, $20k ,39,28.6,,,,,,,,,32,,-8,,4,,4,,7,,,,,,,,, $20k ,39,28.6,,,,,,,,,32,,-8,,4,,4,,7,,,,,,,,
J. Riki
BRI v MEL | EDG
$472K  |  -$93k ( -$17k ), -$17k ,38,40.5,,,,,,,,,35,4,-12,,,,4,,9,,,-2,,,,,, -$17k ,38,40.5,,,,,,,,,35,4,-12,,,,4,,9,,,-2,,,,,, -$17k ,38,40.5,,,,,,,,,35,4,-12,,,,4,,9,,,-2,,,,,, -$17k ,38,40.5,,,,,,,,,35,4,-12,,,,4,,9,,,-2,,,,,, -$17k ,38,40.5,,,,,,,,,35,4,-12,,,,4,,9,,,-2,,,,,, -$17k ,38,40.5,,,,,,,,,35,4,-12,,,,4,,9,,,-2,,,,,, -$17k ,38,40.5,,,,,,,,,35,4,-12,,,,4,,9,,,-2,,,,,, -$17k ,38,40.5,,,,,,,,,35,4,-12,,,,4,,9,,,-2,,,,,, -$17k ,38,40.5,,,,,,,,,35,4,-12,,,,4,,9,,,-2,,,,,, -$17k ,38,40.5,,,,,,,,,35,4,-12,,,,4,,9,,,-2,,,,,, -$17k ,38,40.5,,,,,,,,,35,4,-12,,,,4,,9,,,-2,,,,,, -$17k ,38,40.5,,,,,,,,,35,4,-12,,,,4,,9,,,-2,,,,,, -$17k ,38,40.5,,,,,,,,,35,4,-12,,,,4,,9,,,-2,,,,,, -$17k ,38,40.5,,,,,,,,,35,4,-12,,,,4,,9,,,-2,,,,,, -$17k ,38,40.5,,,,,,,,,35,4,-12,,,,4,,9,,,-2,,,,,, -$17k ,38,40.5,,,,,,,,,35,4,-12,,,,4,,9,,,-2,,,,,, -$17k ,38,40.5,,,,,,,,,35,4,-12,,,,4,,9,,,-2,,,,,, -$17k ,38,40.5,,,,,,,,,35,4,-12,,,,4,,9,,,-2,,,,,, -$17k ,38,40.5,,,,,,,,,35,4,-12,,,,4,,9,,,-2,,,,,, -$17k ,38,40.5,,,,,,,,,35,4,-12,,,,4,,9,,,-2,,,,,, -$17k ,38,40.5,,,,,,,,,35,4,-12,,,,4,,9,,,-2,,,,,, -$17k ,38,40.5,,,,,,,,,35,4,-12,,,,4,,9,,,-2,,,,,, -$17k ,38,40.5,,,,,,,,,35,4,-12,,,,4,,9,,,-2,,,,,, -$17k ,38,40.5,,,,,,,,,35,4,-12,,,,4,,9,,,-2,,,,,, -$17k ,38,40.5,,,,,,,,,35,4,-12,,,,4,,9,,,-2,,,,,, -$17k ,38,40.5,,,,,,,,,35,4,-12,,,,4,,9,,,-2,,,,,, -$17k ,38,40.5,,,,,,,,,35,4,-12,,,,4,,9,,,-2,,,,,, -$17k ,38,40.5,,,,,,,,,35,4,-12,,,,4,,9,,,-2,,,,,, -$17k ,38,40.5,,,,,,,,,35,4,-12,,,,4,,9,,,-2,,,,,, -$17k ,38,40.5,,,,,,,,,35,4,-12,,,,4,,9,,,-2,,,,,, -$17k ,38,40.5,,,,,,,,,35,4,-12,,,,4,,9,,,-2,,,,,, -$17k ,38,40.5,,,,,,,,,35,4,-12,,,,4,,9,,,-2,,,,,, -$17k ,38,40.5,,,,,,,,,35,4,-12,,,,4,,9,,,-2,,,,,, -$17k ,38,40.5,,,,,,,,,35,4,-12,,,,4,,9,,,-2,,,,,, -$17k ,38,40.5,,,,,,,,,35,4,-12,,,,4,,9,,,-2,,,,,
B. Mozer
BRI v MEL | HOK
$303K  |  $53k ( $6k ), $6k ,37,25.3,,,,,,5,,2,29,,-2,,,,4,,2,,,-2,,,,-1,, $6k ,37,25.3,,,,,,5,,2,29,,-2,,,,4,,2,,,-2,,,,-1,, $6k ,37,25.3,,,,,,5,,2,29,,-2,,,,4,,2,,,-2,,,,-1,, $6k ,37,25.3,,,,,,5,,2,29,,-2,,,,4,,2,,,-2,,,,-1,, $6k ,37,25.3,,,,,,5,,2,29,,-2,,,,4,,2,,,-2,,,,-1,, $6k ,37,25.3,,,,,,5,,2,29,,-2,,,,4,,2,,,-2,,,,-1,, $6k ,37,25.3,,,,,,5,,2,29,,-2,,,,4,,2,,,-2,,,,-1,, $6k ,37,25.3,,,,,,5,,2,29,,-2,,,,4,,2,,,-2,,,,-1,, $6k ,37,25.3,,,,,,5,,2,29,,-2,,,,4,,2,,,-2,,,,-1,, $6k ,37,25.3,,,,,,5,,2,29,,-2,,,,4,,2,,,-2,,,,-1,, $6k ,37,25.3,,,,,,5,,2,29,,-2,,,,4,,2,,,-2,,,,-1,, $6k ,37,25.3,,,,,,5,,2,29,,-2,,,,4,,2,,,-2,,,,-1,, $6k ,37,25.3,,,,,,5,,2,29,,-2,,,,4,,2,,,-2,,,,-1,, $6k ,37,25.3,,,,,,5,,2,29,,-2,,,,4,,2,,,-2,,,,-1,, $6k ,37,25.3,,,,,,5,,2,29,,-2,,,,4,,2,,,-2,,,,-1,, $6k ,37,25.3,,,,,,5,,2,29,,-2,,,,4,,2,,,-2,,,,-1,, $6k ,37,25.3,,,,,,5,,2,29,,-2,,,,4,,2,,,-2,,,,-1,, $6k ,37,25.3,,,,,,5,,2,29,,-2,,,,4,,2,,,-2,,,,-1,, $6k ,37,25.3,,,,,,5,,2,29,,-2,,,,4,,2,,,-2,,,,-1,, $6k ,37,25.3,,,,,,5,,2,29,,-2,,,,4,,2,,,-2,,,,-1,, $6k ,37,25.3,,,,,,5,,2,29,,-2,,,,4,,2,,,-2,,,,-1,, $6k ,37,25.3,,,,,,5,,2,29,,-2,,,,4,,2,,,-2,,,,-1,, $6k ,37,25.3,,,,,,5,,2,29,,-2,,,,4,,2,,,-2,,,,-1,, $6k ,37,25.3,,,,,,5,,2,29,,-2,,,,4,,2,,,-2,,,,-1,, $6k ,37,25.3,,,,,,5,,2,29,,-2,,,,4,,2,,,-2,,,,-1,, $6k ,37,25.3,,,,,,5,,2,29,,-2,,,,4,,2,,,-2,,,,-1,, $6k ,37,25.3,,,,,,5,,2,29,,-2,,,,4,,2,,,-2,,,,-1,, $6k ,37,25.3,,,,,,5,,2,29,,-2,,,,4,,2,,,-2,,,,-1,, $6k ,37,25.3,,,,,,5,,2,29,,-2,,,,4,,2,,,-2,,,,-1,, $6k ,37,25.3,,,,,,5,,2,29,,-2,,,,4,,2,,,-2,,,,-1,, $6k ,37,25.3,,,,,,5,,2,29,,-2,,,,4,,2,,,-2,,,,-1,, $6k ,37,25.3,,,,,,5,,2,29,,-2,,,,4,,2,,,-2,,,,-1,, $6k ,37,25.3,,,,,,5,,2,29,,-2,,,,4,,2,,,-2,,,,-1,, $6k ,37,25.3,,,,,,5,,2,29,,-2,,,,4,,2,,,-2,,,,-1,, $6k ,37,25.3,,,,,,5,,2,29,,-2,,,,4,,2,,,-2,,,,-1,
T. Loiero
MEL @ BRI | EDG, MID
$639K  |  $38k ( -$5k ), -$5k ,36,44.8,,,,,,,,,24,2,-2,,4,,,,11,,,-2,,,,-1,, -$5k ,36,44.8,,,,,,,,,24,2,-2,,4,,,,11,,,-2,,,,-1,, -$5k ,36,44.8,,,,,,,,,24,2,-2,,4,,,,11,,,-2,,,,-1,, -$5k ,36,44.8,,,,,,,,,24,2,-2,,4,,,,11,,,-2,,,,-1,, -$5k ,36,44.8,,,,,,,,,24,2,-2,,4,,,,11,,,-2,,,,-1,, -$5k ,36,44.8,,,,,,,,,24,2,-2,,4,,,,11,,,-2,,,,-1,, -$5k ,36,44.8,,,,,,,,,24,2,-2,,4,,,,11,,,-2,,,,-1,, -$5k ,36,44.8,,,,,,,,,24,2,-2,,4,,,,11,,,-2,,,,-1,, -$5k ,36,44.8,,,,,,,,,24,2,-2,,4,,,,11,,,-2,,,,-1,, -$5k ,36,44.8,,,,,,,,,24,2,-2,,4,,,,11,,,-2,,,,-1,, -$5k ,36,44.8,,,,,,,,,24,2,-2,,4,,,,11,,,-2,,,,-1,, -$5k ,36,44.8,,,,,,,,,24,2,-2,,4,,,,11,,,-2,,,,-1,, -$5k ,36,44.8,,,,,,,,,24,2,-2,,4,,,,11,,,-2,,,,-1,, -$5k ,36,44.8,,,,,,,,,24,2,-2,,4,,,,11,,,-2,,,,-1,, -$5k ,36,44.8,,,,,,,,,24,2,-2,,4,,,,11,,,-2,,,,-1,, -$5k ,36,44.8,,,,,,,,,24,2,-2,,4,,,,11,,,-2,,,,-1,, -$5k ,36,44.8,,,,,,,,,24,2,-2,,4,,,,11,,,-2,,,,-1,, -$5k ,36,44.8,,,,,,,,,24,2,-2,,4,,,,11,,,-2,,,,-1,, -$5k ,36,44.8,,,,,,,,,24,2,-2,,4,,,,11,,,-2,,,,-1,, -$5k ,36,44.8,,,,,,,,,24,2,-2,,4,,,,11,,,-2,,,,-1,, -$5k ,36,44.8,,,,,,,,,24,2,-2,,4,,,,11,,,-2,,,,-1,, -$5k ,36,44.8,,,,,,,,,24,2,-2,,4,,,,11,,,-2,,,,-1,, -$5k ,36,44.8,,,,,,,,,24,2,-2,,4,,,,11,,,-2,,,,-1,, -$5k ,36,44.8,,,,,,,,,24,2,-2,,4,,,,11,,,-2,,,,-1,, -$5k ,36,44.8,,,,,,,,,24,2,-2,,4,,,,11,,,-2,,,,-1,, -$5k ,36,44.8,,,,,,,,,24,2,-2,,4,,,,11,,,-2,,,,-1,, -$5k ,36,44.8,,,,,,,,,24,2,-2,,4,,,,11,,,-2,,,,-1,, -$5k ,36,44.8,,,,,,,,,24,2,-2,,4,,,,11,,,-2,,,,-1,, -$5k ,36,44.8,,,,,,,,,24,2,-2,,4,,,,11,,,-2,,,,-1,, -$5k ,36,44.8,,,,,,,,,24,2,-2,,4,,,,11,,,-2,,,,-1,, -$5k ,36,44.8,,,,,,,,,24,2,-2,,4,,,,11,,,-2,,,,-1,, -$5k ,36,44.8,,,,,,,,,24,2,-2,,4,,,,11,,,-2,,,,-1,, -$5k ,36,44.8,,,,,,,,,24,2,-2,,4,,,,11,,,-2,,,,-1,, -$5k ,36,44.8,,,,,,,,,24,2,-2,,4,,,,11,,,-2,,,,-1,, -$5k ,36,44.8,,,,,,,,,24,2,-2,,4,,,,11,,,-2,,,,-1,
K. Hetherington
BRI v MEL | MID
$384K  |  $50k ( -$6k ), -$6k ,36,31,,,,,,,,,29,,-4,,,,,,11,,,,,,,,, -$6k ,36,31,,,,,,,,,29,,-4,,,,,,11,,,,,,,,, -$6k ,36,31,,,,,,,,,29,,-4,,,,,,11,,,,,,,,, -$6k ,36,31,,,,,,,,,29,,-4,,,,,,11,,,,,,,,, -$6k ,36,31,,,,,,,,,29,,-4,,,,,,11,,,,,,,,, -$6k ,36,31,,,,,,,,,29,,-4,,,,,,11,,,,,,,,, -$6k ,36,31,,,,,,,,,29,,-4,,,,,,11,,,,,,,,, -$6k ,36,31,,,,,,,,,29,,-4,,,,,,11,,,,,,,,, -$6k ,36,31,,,,,,,,,29,,-4,,,,,,11,,,,,,,,, -$6k ,36,31,,,,,,,,,29,,-4,,,,,,11,,,,,,,,, -$6k ,36,31,,,,,,,,,29,,-4,,,,,,11,,,,,,,,, -$6k ,36,31,,,,,,,,,29,,-4,,,,,,11,,,,,,,,, -$6k ,36,31,,,,,,,,,29,,-4,,,,,,11,,,,,,,,, -$6k ,36,31,,,,,,,,,29,,-4,,,,,,11,,,,,,,,, -$6k ,36,31,,,,,,,,,29,,-4,,,,,,11,,,,,,,,, -$6k ,36,31,,,,,,,,,29,,-4,,,,,,11,,,,,,,,, -$6k ,36,31,,,,,,,,,29,,-4,,,,,,11,,,,,,,,, -$6k ,36,31,,,,,,,,,29,,-4,,,,,,11,,,,,,,,, -$6k ,36,31,,,,,,,,,29,,-4,,,,,,11,,,,,,,,, -$6k ,36,31,,,,,,,,,29,,-4,,,,,,11,,,,,,,,, -$6k ,36,31,,,,,,,,,29,,-4,,,,,,11,,,,,,,,, -$6k ,36,31,,,,,,,,,29,,-4,,,,,,11,,,,,,,,, -$6k ,36,31,,,,,,,,,29,,-4,,,,,,11,,,,,,,,, -$6k ,36,31,,,,,,,,,29,,-4,,,,,,11,,,,,,,,, -$6k ,36,31,,,,,,,,,29,,-4,,,,,,11,,,,,,,,, -$6k ,36,31,,,,,,,,,29,,-4,,,,,,11,,,,,,,,, -$6k ,36,31,,,,,,,,,29,,-4,,,,,,11,,,,,,,,, -$6k ,36,31,,,,,,,,,29,,-4,,,,,,11,,,,,,,,, -$6k ,36,31,,,,,,,,,29,,-4,,,,,,11,,,,,,,,, -$6k ,36,31,,,,,,,,,29,,-4,,,,,,11,,,,,,,,, -$6k ,36,31,,,,,,,,,29,,-4,,,,,,11,,,,,,,,, -$6k ,36,31,,,,,,,,,29,,-4,,,,,,11,,,,,,,,, -$6k ,36,31,,,,,,,,,29,,-4,,,,,,11,,,,,,,,, -$6k ,36,31,,,,,,,,,29,,-4,,,,,,11,,,,,,,,, -$6k ,36,31,,,,,,,,,29,,-4,,,,,,11,,,,,,,,
D. Mariner
BRI v MEL | CTR, WFB
