Player,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG
S. Cobbo
BRI v SOU | WFB, CTR
J. Nanai
NQL v NEW | EDG
$474K  |  -$75k ( -$97k ), -$97k ,54,43.5,,8,,,,,,,40,,-4,,4,-4,,,10,,,,,,,,, -$97k ,54,43.5,,8,,,,,,,40,,-4,,4,-4,,,10,,,,,,,,, -$97k ,54,43.5,,8,,,,,,,40,,-4,,4,-4,,,10,,,,,,,,, -$97k ,54,43.5,,8,,,,,,,40,,-4,,4,-4,,,10,,,,,,,,, -$97k ,54,43.5,,8,,,,,,,40,,-4,,4,-4,,,10,,,,,,,,, -$97k ,54,43.5,,8,,,,,,,40,,-4,,4,-4,,,10,,,,,,,,, -$97k ,54,43.5,,8,,,,,,,40,,-4,,4,-4,,,10,,,,,,,,, -$97k ,54,43.5,,8,,,,,,,40,,-4,,4,-4,,,10,,,,,,,,, -$97k ,54,43.5,,8,,,,,,,40,,-4,,4,-4,,,10,,,,,,,,, -$97k ,54,43.5,,8,,,,,,,40,,-4,,4,-4,,,10,,,,,,,,, -$97k ,54,43.5,,8,,,,,,,40,,-4,,4,-4,,,10,,,,,,,,, -$97k ,54,43.5,,8,,,,,,,40,,-4,,4,-4,,,10,,,,,,,,, -$97k ,54,43.5,,8,,,,,,,40,,-4,,4,-4,,,10,,,,,,,,, -$97k ,54,43.5,,8,,,,,,,40,,-4,,4,-4,,,10,,,,,,,,, -$97k ,54,43.5,,8,,,,,,,40,,-4,,4,-4,,,10,,,,,,,,, -$97k ,54,43.5,,8,,,,,,,40,,-4,,4,-4,,,10,,,,,,,,, -$97k ,54,43.5,,8,,,,,,,40,,-4,,4,-4,,,10,,,,,,,,, -$97k ,54,43.5,,8,,,,,,,40,,-4,,4,-4,,,10,,,,,,,,, -$97k ,54,43.5,,8,,,,,,,40,,-4,,4,-4,,,10,,,,,,,,, -$97k ,54,43.5,,8,,,,,,,40,,-4,,4,-4,,,10,,,,,,,,, -$97k ,54,43.5,,8,,,,,,,40,,-4,,4,-4,,,10,,,,,,,,, -$97k ,54,43.5,,8,,,,,,,40,,-4,,4,-4,,,10,,,,,,,,, -$97k ,54,43.5,,8,,,,,,,40,,-4,,4,-4,,,10,,,,,,,,, -$97k ,54,43.5,,8,,,,,,,40,,-4,,4,-4,,,10,,,,,,,,, -$97k ,54,43.5,,8,,,,,,,40,,-4,,4,-4,,,10,,,,,,,,, -$97k ,54,43.5,,8,,,,,,,40,,-4,,4,-4,,,10,,,,,,,,, -$97k ,54,43.5,,8,,,,,,,40,,-4,,4,-4,,,10,,,,,,,,, -$97k ,54,43.5,,8,,,,,,,40,,-4,,4,-4,,,10,,,,,,,,, -$97k ,54,43.5,,8,,,,,,,40,,-4,,4,-4,,,10,,,,,,,,, -$97k ,54,43.5,,8,,,,,,,40,,-4,,4,-4,,,10,,,,,,,,, -$97k ,54,43.5,,8,,,,,,,40,,-4,,4,-4,,,10,,,,,,,,, -$97k ,54,43.5,,8,,,,,,,40,,-4,,4,-4,,,10,,,,,,,,, -$97k ,54,43.5,,8,,,,,,,40,,-4,,4,-4,,,10,,,,,,,,, -$97k ,54,43.5,,8,,,,,,,40,,-4,,4,-4,,,10,,,,,,,,, -$97k ,54,43.5,,8,,,,,,,40,,-4,,4,-4,,,10,,,,,,,,
D. Gagai
NEW @ NQL | CTR
$732K  |  -$17k ( -$16k ), -$16k ,53,51.8,,,,,,,4,,16,18,-4,2,,,4,,13,,,,,,,,, -$16k ,53,51.8,,,,,,,4,,16,18,-4,2,,,4,,13,,,,,,,,, -$16k ,53,51.8,,,,,,,4,,16,18,-4,2,,,4,,13,,,,,,,,, -$16k ,53,51.8,,,,,,,4,,16,18,-4,2,,,4,,13,,,,,,,,, -$16k ,53,51.8,,,,,,,4,,16,18,-4,2,,,4,,13,,,,,,,,, -$16k ,53,51.8,,,,,,,4,,16,18,-4,2,,,4,,13,,,,,,,,, -$16k ,53,51.8,,,,,,,4,,16,18,-4,2,,,4,,13,,,,,,,,, -$16k ,53,51.8,,,,,,,4,,16,18,-4,2,,,4,,13,,,,,,,,, -$16k ,53,51.8,,,,,,,4,,16,18,-4,2,,,4,,13,,,,,,,,, -$16k ,53,51.8,,,,,,,4,,16,18,-4,2,,,4,,13,,,,,,,,, -$16k ,53,51.8,,,,,,,4,,16,18,-4,2,,,4,,13,,,,,,,,, -$16k ,53,51.8,,,,,,,4,,16,18,-4,2,,,4,,13,,,,,,,,, -$16k ,53,51.8,,,,,,,4,,16,18,-4,2,,,4,,13,,,,,,,,, -$16k ,53,51.8,,,,,,,4,,16,18,-4,2,,,4,,13,,,,,,,,, -$16k ,53,51.8,,,,,,,4,,16,18,-4,2,,,4,,13,,,,,,,,, -$16k ,53,51.8,,,,,,,4,,16,18,-4,2,,,4,,13,,,,,,,,, -$16k ,53,51.8,,,,,,,4,,16,18,-4,2,,,4,,13,,,,,,,,, -$16k ,53,51.8,,,,,,,4,,16,18,-4,2,,,4,,13,,,,,,,,, -$16k ,53,51.8,,,,,,,4,,16,18,-4,2,,,4,,13,,,,,,,,, -$16k ,53,51.8,,,,,,,4,,16,18,-4,2,,,4,,13,,,,,,,,, -$16k ,53,51.8,,,,,,,4,,16,18,-4,2,,,4,,13,,,,,,,,, -$16k ,53,51.8,,,,,,,4,,16,18,-4,2,,,4,,13,,,,,,,,, -$16k ,53,51.8,,,,,,,4,,16,18,-4,2,,,4,,13,,,,,,,,, -$16k ,53,51.8,,,,,,,4,,16,18,-4,2,,,4,,13,,,,,,,,, -$16k ,53,51.8,,,,,,,4,,16,18,-4,2,,,4,,13,,,,,,,,, -$16k ,53,51.8,,,,,,,4,,16,18,-4,2,,,4,,13,,,,,,,,, -$16k ,53,51.8,,,,,,,4,,16,18,-4,2,,,4,,13,,,,,,,,, -$16k ,53,51.8,,,,,,,4,,16,18,-4,2,,,4,,13,,,,,,,,, -$16k ,53,51.8,,,,,,,4,,16,18,-4,2,,,4,,13,,,,,,,,, -$16k ,53,51.8,,,,,,,4,,16,18,-4,2,,,4,,13,,,,,,,,, -$16k ,53,51.8,,,,,,,4,,16,18,-4,2,,,4,,13,,,,,,,,, -$16k ,53,51.8,,,,,,,4,,16,18,-4,2,,,4,,13,,,,,,,,, -$16k ,53,51.8,,,,,,,4,,16,18,-4,2,,,4,,13,,,,,,,,, -$16k ,53,51.8,,,,,,,4,,16,18,-4,2,,,4,,13,,,,,,,,, -$16k ,53,51.8,,,,,,,4,,16,18,-4,2,,,4,,13,,,,,,,,
K. Feldt
NQL v NEW | WFB
$607K  |  $122k ( $123k ), $123k ,53,39.3,,8,,,,5,4,2,10,4,,,4,-2,,,13,,5,,,,,,, $123k ,53,39.3,,8,,,,5,4,2,10,4,,,4,-2,,,13,,5,,,,,,, $123k ,53,39.3,,8,,,,5,4,2,10,4,,,4,-2,,,13,,5,,,,,,, $123k ,53,39.3,,8,,,,5,4,2,10,4,,,4,-2,,,13,,5,,,,,,, $123k ,53,39.3,,8,,,,5,4,2,10,4,,,4,-2,,,13,,5,,,,,,, $123k ,53,39.3,,8,,,,5,4,2,10,4,,,4,-2,,,13,,5,,,,,,, $123k ,53,39.3,,8,,,,5,4,2,10,4,,,4,-2,,,13,,5,,,,,,, $123k ,53,39.3,,8,,,,5,4,2,10,4,,,4,-2,,,13,,5,,,,,,, $123k ,53,39.3,,8,,,,5,4,2,10,4,,,4,-2,,,13,,5,,,,,,, $123k ,53,39.3,,8,,,,5,4,2,10,4,,,4,-2,,,13,,5,,,,,,, $123k ,53,39.3,,8,,,,5,4,2,10,4,,,4,-2,,,13,,5,,,,,,, $123k ,53,39.3,,8,,,,5,4,2,10,4,,,4,-2,,,13,,5,,,,,,, $123k ,53,39.3,,8,,,,5,4,2,10,4,,,4,-2,,,13,,5,,,,,,, $123k ,53,39.3,,8,,,,5,4,2,10,4,,,4,-2,,,13,,5,,,,,,, $123k ,53,39.3,,8,,,,5,4,2,10,4,,,4,-2,,,13,,5,,,,,,, $123k ,53,39.3,,8,,,,5,4,2,10,4,,,4,-2,,,13,,5,,,,,,, $123k ,53,39.3,,8,,,,5,4,2,10,4,,,4,-2,,,13,,5,,,,,,, $123k ,53,39.3,,8,,,,5,4,2,10,4,,,4,-2,,,13,,5,,,,,,, $123k ,53,39.3,,8,,,,5,4,2,10,4,,,4,-2,,,13,,5,,,,,,, $123k ,53,39.3,,8,,,,5,4,2,10,4,,,4,-2,,,13,,5,,,,,,, $123k ,53,39.3,,8,,,,5,4,2,10,4,,,4,-2,,,13,,5,,,,,,, $123k ,53,39.3,,8,,,,5,4,2,10,4,,,4,-2,,,13,,5,,,,,,, $123k ,53,39.3,,8,,,,5,4,2,10,4,,,4,-2,,,13,,5,,,,,,, $123k ,53,39.3,,8,,,,5,4,2,10,4,,,4,-2,,,13,,5,,,,,,, $123k ,53,39.3,,8,,,,5,4,2,10,4,,,4,-2,,,13,,5,,,,,,, $123k ,53,39.3,,8,,,,5,4,2,10,4,,,4,-2,,,13,,5,,,,,,, $123k ,53,39.3,,8,,,,5,4,2,10,4,,,4,-2,,,13,,5,,,,,,, $123k ,53,39.3,,8,,,,5,4,2,10,4,,,4,-2,,,13,,5,,,,,,, $123k ,53,39.3,,8,,,,5,4,2,10,4,,,4,-2,,,13,,5,,,,,,, $123k ,53,39.3,,8,,,,5,4,2,10,4,,,4,-2,,,13,,5,,,,,,, $123k ,53,39.3,,8,,,,5,4,2,10,4,,,4,-2,,,13,,5,,,,,,, $123k ,53,39.3,,8,,,,5,4,2,10,4,,,4,-2,,,13,,5,,,,,,, $123k ,53,39.3,,8,,,,5,4,2,10,4,,,4,-2,,,13,,5,,,,,,, $123k ,53,39.3,,8,,,,5,4,2,10,4,,,4,-2,,,13,,5,,,,,,, $123k ,53,39.3,,8,,,,5,4,2,10,4,,,4,-2,,,13,,5,,,,,,
J. Hastings
NEW @ NQL | HLF
$637K  |  $80k ( $67k ), $67k ,50,48.1,,,,,,5,,,23,,,,,,8,,7,6,1,,,,,,, $67k ,50,48.1,,,,,,5,,,23,,,,,,8,,7,6,1,,,,,,, $67k ,50,48.1,,,,,,5,,,23,,,,,,8,,7,6,1,,,,,,, $67k ,50,48.1,,,,,,5,,,23,,,,,,8,,7,6,1,,,,,,, $67k ,50,48.1,,,,,,5,,,23,,,,,,8,,7,6,1,,,,,,, $67k ,50,48.1,,,,,,5,,,23,,,,,,8,,7,6,1,,,,,,, $67k ,50,48.1,,,,,,5,,,23,,,,,,8,,7,6,1,,,,,,, $67k ,50,48.1,,,,,,5,,,23,,,,,,8,,7,6,1,,,,,,, $67k ,50,48.1,,,,,,5,,,23,,,,,,8,,7,6,1,,,,,,, $67k ,50,48.1,,,,,,5,,,23,,,,,,8,,7,6,1,,,,,,, $67k ,50,48.1,,,,,,5,,,23,,,,,,8,,7,6,1,,,,,,, $67k ,50,48.1,,,,,,5,,,23,,,,,,8,,7,6,1,,,,,,, $67k ,50,48.1,,,,,,5,,,23,,,,,,8,,7,6,1,,,,,,, $67k ,50,48.1,,,,,,5,,,23,,,,,,8,,7,6,1,,,,,,, $67k ,50,48.1,,,,,,5,,,23,,,,,,8,,7,6,1,,,,,,, $67k ,50,48.1,,,,,,5,,,23,,,,,,8,,7,6,1,,,,,,, $67k ,50,48.1,,,,,,5,,,23,,,,,,8,,7,6,1,,,,,,, $67k ,50,48.1,,,,,,5,,,23,,,,,,8,,7,6,1,,,,,,, $67k ,50,48.1,,,,,,5,,,23,,,,,,8,,7,6,1,,,,,,, $67k ,50,48.1,,,,,,5,,,23,,,,,,8,,7,6,1,,,,,,, $67k ,50,48.1,,,,,,5,,,23,,,,,,8,,7,6,1,,,,,,, $67k ,50,48.1,,,,,,5,,,23,,,,,,8,,7,6,1,,,,,,, $67k ,50,48.1,,,,,,5,,,23,,,,,,8,,7,6,1,,,,,,, $67k ,50,48.1,,,,,,5,,,23,,,,,,8,,7,6,1,,,,,,, $67k ,50,48.1,,,,,,5,,,23,,,,,,8,,7,6,1,,,,,,, $67k ,50,48.1,,,,,,5,,,23,,,,,,8,,7,6,1,,,,,,, $67k ,50,48.1,,,,,,5,,,23,,,,,,8,,7,6,1,,,,,,, $67k ,50,48.1,,,,,,5,,,23,,,,,,8,,7,6,1,,,,,,, $67k ,50,48.1,,,,,,5,,,23,,,,,,8,,7,6,1,,,,,,, $67k ,50,48.1,,,,,,5,,,23,,,,,,8,,7,6,1,,,,,,, $67k ,50,48.1,,,,,,5,,,23,,,,,,8,,7,6,1,,,,,,, $67k ,50,48.1,,,,,,5,,,23,,,,,,8,,7,6,1,,,,,,, $67k ,50,48.1,,,,,,5,,,23,,,,,,8,,7,6,1,,,,,,, $67k ,50,48.1,,,,,,5,,,23,,,,,,8,,7,6,1,,,,,,, $67k ,50,48.1,,,,,,5,,,23,,,,,,8,,7,6,1,,,,,,
L. Thompson
NEW @ NQL | MID
$548K  |  -$9k ( -$7k ), -$7k ,50,41.5,,,,,,,,,37,,-4,,,,4,,13,,,,,,,,, -$7k ,50,41.5,,,,,,,,,37,,-4,,,,4,,13,,,,,,,,, -$7k ,50,41.5,,,,,,,,,37,,-4,,,,4,,13,,,,,,,,, -$7k ,50,41.5,,,,,,,,,37,,-4,,,,4,,13,,,,,,,,, -$7k ,50,41.5,,,,,,,,,37,,-4,,,,4,,13,,,,,,,,, -$7k ,50,41.5,,,,,,,,,37,,-4,,,,4,,13,,,,,,,,, -$7k ,50,41.5,,,,,,,,,37,,-4,,,,4,,13,,,,,,,,, -$7k ,50,41.5,,,,,,,,,37,,-4,,,,4,,13,,,,,,,,, -$7k ,50,41.5,,,,,,,,,37,,-4,,,,4,,13,,,,,,,,, -$7k ,50,41.5,,,,,,,,,37,,-4,,,,4,,13,,,,,,,,, -$7k ,50,41.5,,,,,,,,,37,,-4,,,,4,,13,,,,,,,,, -$7k ,50,41.5,,,,,,,,,37,,-4,,,,4,,13,,,,,,,,, -$7k ,50,41.5,,,,,,,,,37,,-4,,,,4,,13,,,,,,,,, -$7k ,50,41.5,,,,,,,,,37,,-4,,,,4,,13,,,,,,,,, -$7k ,50,41.5,,,,,,,,,37,,-4,,,,4,,13,,,,,,,,, -$7k ,50,41.5,,,,,,,,,37,,-4,,,,4,,13,,,,,,,,, -$7k ,50,41.5,,,,,,,,,37,,-4,,,,4,,13,,,,,,,,, -$7k ,50,41.5,,,,,,,,,37,,-4,,,,4,,13,,,,,,,,, -$7k ,50,41.5,,,,,,,,,37,,-4,,,,4,,13,,,,,,,,, -$7k ,50,41.5,,,,,,,,,37,,-4,,,,4,,13,,,,,,,,, -$7k ,50,41.5,,,,,,,,,37,,-4,,,,4,,13,,,,,,,,, -$7k ,50,41.5,,,,,,,,,37,,-4,,,,4,,13,,,,,,,,, -$7k ,50,41.5,,,,,,,,,37,,-4,,,,4,,13,,,,,,,,, -$7k ,50,41.5,,,,,,,,,37,,-4,,,,4,,13,,,,,,,,, -$7k ,50,41.5,,,,,,,,,37,,-4,,,,4,,13,,,,,,,,, -$7k ,50,41.5,,,,,,,,,37,,-4,,,,4,,13,,,,,,,,, -$7k ,50,41.5,,,,,,,,,37,,-4,,,,4,,13,,,,,,,,, -$7k ,50,41.5,,,,,,,,,37,,-4,,,,4,,13,,,,,,,,, -$7k ,50,41.5,,,,,,,,,37,,-4,,,,4,,13,,,,,,,,, -$7k ,50,41.5,,,,,,,,,37,,-4,,,,4,,13,,,,,,,,, -$7k ,50,41.5,,,,,,,,,37,,-4,,,,4,,13,,,,,,,,, -$7k ,50,41.5,,,,,,,,,37,,-4,,,,4,,13,,,,,,,,, -$7k ,50,41.5,,,,,,,,,37,,-4,,,,4,,13,,,,,,,,, -$7k ,50,41.5,,,,,,,,,37,,-4,,,,4,,13,,,,,,,,, -$7k ,50,41.5,,,,,,,,,37,,-4,,,,4,,13,,,,,,,,
T. Dearden
NQL v NEW | HLF
$594K  |  $63k ( $47k ), $47k ,47,43.5,,8,,,,,8,,16,8,-2,,4,,,,8,,1,-4,,,,,, $47k ,47,43.5,,8,,,,,8,,16,8,-2,,4,,,,8,,1,-4,,,,,, $47k ,47,43.5,,8,,,,,8,,16,8,-2,,4,,,,8,,1,-4,,,,,, $47k ,47,43.5,,8,,,,,8,,16,8,-2,,4,,,,8,,1,-4,,,,,, $47k ,47,43.5,,8,,,,,8,,16,8,-2,,4,,,,8,,1,-4,,,,,, $47k ,47,43.5,,8,,,,,8,,16,8,-2,,4,,,,8,,1,-4,,,,,, $47k ,47,43.5,,8,,,,,8,,16,8,-2,,4,,,,8,,1,-4,,,,,, $47k ,47,43.5,,8,,,,,8,,16,8,-2,,4,,,,8,,1,-4,,,,,, $47k ,47,43.5,,8,,,,,8,,16,8,-2,,4,,,,8,,1,-4,,,,,, $47k ,47,43.5,,8,,,,,8,,16,8,-2,,4,,,,8,,1,-4,,,,,, $47k ,47,43.5,,8,,,,,8,,16,8,-2,,4,,,,8,,1,-4,,,,,, $47k ,47,43.5,,8,,,,,8,,16,8,-2,,4,,,,8,,1,-4,,,,,, $47k ,47,43.5,,8,,,,,8,,16,8,-2,,4,,,,8,,1,-4,,,,,, $47k ,47,43.5,,8,,,,,8,,16,8,-2,,4,,,,8,,1,-4,,,,,, $47k ,47,43.5,,8,,,,,8,,16,8,-2,,4,,,,8,,1,-4,,,,,, $47k ,47,43.5,,8,,,,,8,,16,8,-2,,4,,,,8,,1,-4,,,,,, $47k ,47,43.5,,8,,,,,8,,16,8,-2,,4,,,,8,,1,-4,,,,,, $47k ,47,43.5,,8,,,,,8,,16,8,-2,,4,,,,8,,1,-4,,,,,, $47k ,47,43.5,,8,,,,,8,,16,8,-2,,4,,,,8,,1,-4,,,,,, $47k ,47,43.5,,8,,,,,8,,16,8,-2,,4,,,,8,,1,-4,,,,,, $47k ,47,43.5,,8,,,,,8,,16,8,-2,,4,,,,8,,1,-4,,,,,, $47k ,47,43.5,,8,,,,,8,,16,8,-2,,4,,,,8,,1,-4,,,,,, $47k ,47,43.5,,8,,,,,8,,16,8,-2,,4,,,,8,,1,-4,,,,,, $47k ,47,43.5,,8,,,,,8,,16,8,-2,,4,,,,8,,1,-4,,,,,, $47k ,47,43.5,,8,,,,,8,,16,8,-2,,4,,,,8,,1,-4,,,,,, $47k ,47,43.5,,8,,,,,8,,16,8,-2,,4,,,,8,,1,-4,,,,,, $47k ,47,43.5,,8,,,,,8,,16,8,-2,,4,,,,8,,1,-4,,,,,, $47k ,47,43.5,,8,,,,,8,,16,8,-2,,4,,,,8,,1,-4,,,,,, $47k ,47,43.5,,8,,,,,8,,16,8,-2,,4,,,,8,,1,-4,,,,,, $47k ,47,43.5,,8,,,,,8,,16,8,-2,,4,,,,8,,1,-4,,,,,, $47k ,47,43.5,,8,,,,,8,,16,8,-2,,4,,,,8,,1,-4,,,,,, $47k ,47,43.5,,8,,,,,8,,16,8,-2,,4,,,,8,,1,-4,,,,,, $47k ,47,43.5,,8,,,,,8,,16,8,-2,,4,,,,8,,1,-4,,,,,, $47k ,47,43.5,,8,,,,,8,,16,8,-2,,4,,,,8,,1,-4,,,,,, $47k ,47,43.5,,8,,,,,8,,16,8,-2,,4,,,,8,,1,-4,,,,,
S. Drinkwater
NQL v NEW | WFB
