Player,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG
L. Mitchell
SOU @ MAN | WFB
S. Luke
PEN @ MEL | HOK
$311K  |  $40k ( $40k ), $40k ,54,54,,,,,,,,,19,6,,2,20,,,,3,2,,-2,,,4,,, $40k ,54,54,,,,,,,,,19,6,,2,20,,,,3,2,,-2,,,4,,, $40k ,54,54,,,,,,,,,19,6,,2,20,,,,3,2,,-2,,,4,,, $40k ,54,54,,,,,,,,,19,6,,2,20,,,,3,2,,-2,,,4,,, $40k ,54,54,,,,,,,,,19,6,,2,20,,,,3,2,,-2,,,4,,, $40k ,54,54,,,,,,,,,19,6,,2,20,,,,3,2,,-2,,,4,,, $40k ,54,54,,,,,,,,,19,6,,2,20,,,,3,2,,-2,,,4,,, $40k ,54,54,,,,,,,,,19,6,,2,20,,,,3,2,,-2,,,4,,, $40k ,54,54,,,,,,,,,19,6,,2,20,,,,3,2,,-2,,,4,,, $40k ,54,54,,,,,,,,,19,6,,2,20,,,,3,2,,-2,,,4,,, $40k ,54,54,,,,,,,,,19,6,,2,20,,,,3,2,,-2,,,4,,, $40k ,54,54,,,,,,,,,19,6,,2,20,,,,3,2,,-2,,,4,,, $40k ,54,54,,,,,,,,,19,6,,2,20,,,,3,2,,-2,,,4,,, $40k ,54,54,,,,,,,,,19,6,,2,20,,,,3,2,,-2,,,4,,, $40k ,54,54,,,,,,,,,19,6,,2,20,,,,3,2,,-2,,,4,,, $40k ,54,54,,,,,,,,,19,6,,2,20,,,,3,2,,-2,,,4,,, $40k ,54,54,,,,,,,,,19,6,,2,20,,,,3,2,,-2,,,4,,, $40k ,54,54,,,,,,,,,19,6,,2,20,,,,3,2,,-2,,,4,,, $40k ,54,54,,,,,,,,,19,6,,2,20,,,,3,2,,-2,,,4,,, $40k ,54,54,,,,,,,,,19,6,,2,20,,,,3,2,,-2,,,4,,, $40k ,54,54,,,,,,,,,19,6,,2,20,,,,3,2,,-2,,,4,,, $40k ,54,54,,,,,,,,,19,6,,2,20,,,,3,2,,-2,,,4,,, $40k ,54,54,,,,,,,,,19,6,,2,20,,,,3,2,,-2,,,4,,, $40k ,54,54,,,,,,,,,19,6,,2,20,,,,3,2,,-2,,,4,,, $40k ,54,54,,,,,,,,,19,6,,2,20,,,,3,2,,-2,,,4,,, $40k ,54,54,,,,,,,,,19,6,,2,20,,,,3,2,,-2,,,4,,, $40k ,54,54,,,,,,,,,19,6,,2,20,,,,3,2,,-2,,,4,,, $40k ,54,54,,,,,,,,,19,6,,2,20,,,,3,2,,-2,,,4,,, $40k ,54,54,,,,,,,,,19,6,,2,20,,,,3,2,,-2,,,4,,, $40k ,54,54,,,,,,,,,19,6,,2,20,,,,3,2,,-2,,,4,,, $40k ,54,54,,,,,,,,,19,6,,2,20,,,,3,2,,-2,,,4,,, $40k ,54,54,,,,,,,,,19,6,,2,20,,,,3,2,,-2,,,4,,, $40k ,54,54,,,,,,,,,19,6,,2,20,,,,3,2,,-2,,,4,,, $40k ,54,54,,,,,,,,,19,6,,2,20,,,,3,2,,-2,,,4,,, $40k ,54,54,,,,,,,,,19,6,,2,20,,,,3,2,,-2,,,4,,
E. Katoa
MEL v PEN | EDG
$661K  |  $22k ( $22k ), $22k ,53,52.2,,,,,,,,2,36,4,-4,,4,,,,12,,,,,,,-1,, $22k ,53,52.2,,,,,,,,2,36,4,-4,,4,,,,12,,,,,,,-1,, $22k ,53,52.2,,,,,,,,2,36,4,-4,,4,,,,12,,,,,,,-1,, $22k ,53,52.2,,,,,,,,2,36,4,-4,,4,,,,12,,,,,,,-1,, $22k ,53,52.2,,,,,,,,2,36,4,-4,,4,,,,12,,,,,,,-1,, $22k ,53,52.2,,,,,,,,2,36,4,-4,,4,,,,12,,,,,,,-1,, $22k ,53,52.2,,,,,,,,2,36,4,-4,,4,,,,12,,,,,,,-1,, $22k ,53,52.2,,,,,,,,2,36,4,-4,,4,,,,12,,,,,,,-1,, $22k ,53,52.2,,,,,,,,2,36,4,-4,,4,,,,12,,,,,,,-1,, $22k ,53,52.2,,,,,,,,2,36,4,-4,,4,,,,12,,,,,,,-1,, $22k ,53,52.2,,,,,,,,2,36,4,-4,,4,,,,12,,,,,,,-1,, $22k ,53,52.2,,,,,,,,2,36,4,-4,,4,,,,12,,,,,,,-1,, $22k ,53,52.2,,,,,,,,2,36,4,-4,,4,,,,12,,,,,,,-1,, $22k ,53,52.2,,,,,,,,2,36,4,-4,,4,,,,12,,,,,,,-1,, $22k ,53,52.2,,,,,,,,2,36,4,-4,,4,,,,12,,,,,,,-1,, $22k ,53,52.2,,,,,,,,2,36,4,-4,,4,,,,12,,,,,,,-1,, $22k ,53,52.2,,,,,,,,2,36,4,-4,,4,,,,12,,,,,,,-1,, $22k ,53,52.2,,,,,,,,2,36,4,-4,,4,,,,12,,,,,,,-1,, $22k ,53,52.2,,,,,,,,2,36,4,-4,,4,,,,12,,,,,,,-1,, $22k ,53,52.2,,,,,,,,2,36,4,-4,,4,,,,12,,,,,,,-1,, $22k ,53,52.2,,,,,,,,2,36,4,-4,,4,,,,12,,,,,,,-1,, $22k ,53,52.2,,,,,,,,2,36,4,-4,,4,,,,12,,,,,,,-1,, $22k ,53,52.2,,,,,,,,2,36,4,-4,,4,,,,12,,,,,,,-1,, $22k ,53,52.2,,,,,,,,2,36,4,-4,,4,,,,12,,,,,,,-1,, $22k ,53,52.2,,,,,,,,2,36,4,-4,,4,,,,12,,,,,,,-1,, $22k ,53,52.2,,,,,,,,2,36,4,-4,,4,,,,12,,,,,,,-1,, $22k ,53,52.2,,,,,,,,2,36,4,-4,,4,,,,12,,,,,,,-1,, $22k ,53,52.2,,,,,,,,2,36,4,-4,,4,,,,12,,,,,,,-1,, $22k ,53,52.2,,,,,,,,2,36,4,-4,,4,,,,12,,,,,,,-1,, $22k ,53,52.2,,,,,,,,2,36,4,-4,,4,,,,12,,,,,,,-1,, $22k ,53,52.2,,,,,,,,2,36,4,-4,,4,,,,12,,,,,,,-1,, $22k ,53,52.2,,,,,,,,2,36,4,-4,,4,,,,12,,,,,,,-1,, $22k ,53,52.2,,,,,,,,2,36,4,-4,,4,,,,12,,,,,,,-1,, $22k ,53,52.2,,,,,,,,2,36,4,-4,,4,,,,12,,,,,,,-1,, $22k ,53,52.2,,,,,,,,2,36,4,-4,,4,,,,12,,,,,,,-1,
N. Cleary
PEN @ MEL | HLF
$923K  |  -$77k ( -$77k ), -$77k ,51,64.5,,,,,,,,,25,4,-10,,4,-2,,,15,13,,,,,2,,, -$77k ,51,64.5,,,,,,,,,25,4,-10,,4,-2,,,15,13,,,,,2,,, -$77k ,51,64.5,,,,,,,,,25,4,-10,,4,-2,,,15,13,,,,,2,,, -$77k ,51,64.5,,,,,,,,,25,4,-10,,4,-2,,,15,13,,,,,2,,, -$77k ,51,64.5,,,,,,,,,25,4,-10,,4,-2,,,15,13,,,,,2,,, -$77k ,51,64.5,,,,,,,,,25,4,-10,,4,-2,,,15,13,,,,,2,,, -$77k ,51,64.5,,,,,,,,,25,4,-10,,4,-2,,,15,13,,,,,2,,, -$77k ,51,64.5,,,,,,,,,25,4,-10,,4,-2,,,15,13,,,,,2,,, -$77k ,51,64.5,,,,,,,,,25,4,-10,,4,-2,,,15,13,,,,,2,,, -$77k ,51,64.5,,,,,,,,,25,4,-10,,4,-2,,,15,13,,,,,2,,, -$77k ,51,64.5,,,,,,,,,25,4,-10,,4,-2,,,15,13,,,,,2,,, -$77k ,51,64.5,,,,,,,,,25,4,-10,,4,-2,,,15,13,,,,,2,,, -$77k ,51,64.5,,,,,,,,,25,4,-10,,4,-2,,,15,13,,,,,2,,, -$77k ,51,64.5,,,,,,,,,25,4,-10,,4,-2,,,15,13,,,,,2,,, -$77k ,51,64.5,,,,,,,,,25,4,-10,,4,-2,,,15,13,,,,,2,,, -$77k ,51,64.5,,,,,,,,,25,4,-10,,4,-2,,,15,13,,,,,2,,, -$77k ,51,64.5,,,,,,,,,25,4,-10,,4,-2,,,15,13,,,,,2,,, -$77k ,51,64.5,,,,,,,,,25,4,-10,,4,-2,,,15,13,,,,,2,,, -$77k ,51,64.5,,,,,,,,,25,4,-10,,4,-2,,,15,13,,,,,2,,, -$77k ,51,64.5,,,,,,,,,25,4,-10,,4,-2,,,15,13,,,,,2,,, -$77k ,51,64.5,,,,,,,,,25,4,-10,,4,-2,,,15,13,,,,,2,,, -$77k ,51,64.5,,,,,,,,,25,4,-10,,4,-2,,,15,13,,,,,2,,, -$77k ,51,64.5,,,,,,,,,25,4,-10,,4,-2,,,15,13,,,,,2,,, -$77k ,51,64.5,,,,,,,,,25,4,-10,,4,-2,,,15,13,,,,,2,,, -$77k ,51,64.5,,,,,,,,,25,4,-10,,4,-2,,,15,13,,,,,2,,, -$77k ,51,64.5,,,,,,,,,25,4,-10,,4,-2,,,15,13,,,,,2,,, -$77k ,51,64.5,,,,,,,,,25,4,-10,,4,-2,,,15,13,,,,,2,,, -$77k ,51,64.5,,,,,,,,,25,4,-10,,4,-2,,,15,13,,,,,2,,, -$77k ,51,64.5,,,,,,,,,25,4,-10,,4,-2,,,15,13,,,,,2,,, -$77k ,51,64.5,,,,,,,,,25,4,-10,,4,-2,,,15,13,,,,,2,,, -$77k ,51,64.5,,,,,,,,,25,4,-10,,4,-2,,,15,13,,,,,2,,, -$77k ,51,64.5,,,,,,,,,25,4,-10,,4,-2,,,15,13,,,,,2,,, -$77k ,51,64.5,,,,,,,,,25,4,-10,,4,-2,,,15,13,,,,,2,,, -$77k ,51,64.5,,,,,,,,,25,4,-10,,4,-2,,,15,13,,,,,2,,, -$77k ,51,64.5,,,,,,,,,25,4,-10,,4,-2,,,15,13,,,,,2,,
H. Grant
MEL v PEN | HOK
$763K  |  -$25k ( -$25k ), -$25k ,49,53.8,,,,,,,,,43,6,-8,,,,4,,5,,,,,,,-1,, -$25k ,49,53.8,,,,,,,,,43,6,-8,,,,4,,5,,,,,,,-1,, -$25k ,49,53.8,,,,,,,,,43,6,-8,,,,4,,5,,,,,,,-1,, -$25k ,49,53.8,,,,,,,,,43,6,-8,,,,4,,5,,,,,,,-1,, -$25k ,49,53.8,,,,,,,,,43,6,-8,,,,4,,5,,,,,,,-1,, -$25k ,49,53.8,,,,,,,,,43,6,-8,,,,4,,5,,,,,,,-1,, -$25k ,49,53.8,,,,,,,,,43,6,-8,,,,4,,5,,,,,,,-1,, -$25k ,49,53.8,,,,,,,,,43,6,-8,,,,4,,5,,,,,,,-1,, -$25k ,49,53.8,,,,,,,,,43,6,-8,,,,4,,5,,,,,,,-1,, -$25k ,49,53.8,,,,,,,,,43,6,-8,,,,4,,5,,,,,,,-1,, -$25k ,49,53.8,,,,,,,,,43,6,-8,,,,4,,5,,,,,,,-1,, -$25k ,49,53.8,,,,,,,,,43,6,-8,,,,4,,5,,,,,,,-1,, -$25k ,49,53.8,,,,,,,,,43,6,-8,,,,4,,5,,,,,,,-1,, -$25k ,49,53.8,,,,,,,,,43,6,-8,,,,4,,5,,,,,,,-1,, -$25k ,49,53.8,,,,,,,,,43,6,-8,,,,4,,5,,,,,,,-1,, -$25k ,49,53.8,,,,,,,,,43,6,-8,,,,4,,5,,,,,,,-1,, -$25k ,49,53.8,,,,,,,,,43,6,-8,,,,4,,5,,,,,,,-1,, -$25k ,49,53.8,,,,,,,,,43,6,-8,,,,4,,5,,,,,,,-1,, -$25k ,49,53.8,,,,,,,,,43,6,-8,,,,4,,5,,,,,,,-1,, -$25k ,49,53.8,,,,,,,,,43,6,-8,,,,4,,5,,,,,,,-1,, -$25k ,49,53.8,,,,,,,,,43,6,-8,,,,4,,5,,,,,,,-1,, -$25k ,49,53.8,,,,,,,,,43,6,-8,,,,4,,5,,,,,,,-1,, -$25k ,49,53.8,,,,,,,,,43,6,-8,,,,4,,5,,,,,,,-1,, -$25k ,49,53.8,,,,,,,,,43,6,-8,,,,4,,5,,,,,,,-1,, -$25k ,49,53.8,,,,,,,,,43,6,-8,,,,4,,5,,,,,,,-1,, -$25k ,49,53.8,,,,,,,,,43,6,-8,,,,4,,5,,,,,,,-1,, -$25k ,49,53.8,,,,,,,,,43,6,-8,,,,4,,5,,,,,,,-1,, -$25k ,49,53.8,,,,,,,,,43,6,-8,,,,4,,5,,,,,,,-1,, -$25k ,49,53.8,,,,,,,,,43,6,-8,,,,4,,5,,,,,,,-1,, -$25k ,49,53.8,,,,,,,,,43,6,-8,,,,4,,5,,,,,,,-1,, -$25k ,49,53.8,,,,,,,,,43,6,-8,,,,4,,5,,,,,,,-1,, -$25k ,49,53.8,,,,,,,,,43,6,-8,,,,4,,5,,,,,,,-1,, -$25k ,49,53.8,,,,,,,,,43,6,-8,,,,4,,5,,,,,,,-1,, -$25k ,49,53.8,,,,,,,,,43,6,-8,,,,4,,5,,,,,,,-1,, -$25k ,49,53.8,,,,,,,,,43,6,-8,,,,4,,5,,,,,,,-1,
C. Welch
MEL v PEN | MID
$432K  |  -$183k ( -$183k ), -$183k ,49,34.2,,,,,,,,,29,2,-6,,16,-4,,,14,,,-2,,,,,, -$183k ,49,34.2,,,,,,,,,29,2,-6,,16,-4,,,14,,,-2,,,,,, -$183k ,49,34.2,,,,,,,,,29,2,-6,,16,-4,,,14,,,-2,,,,,, -$183k ,49,34.2,,,,,,,,,29,2,-6,,16,-4,,,14,,,-2,,,,,, -$183k ,49,34.2,,,,,,,,,29,2,-6,,16,-4,,,14,,,-2,,,,,, -$183k ,49,34.2,,,,,,,,,29,2,-6,,16,-4,,,14,,,-2,,,,,, -$183k ,49,34.2,,,,,,,,,29,2,-6,,16,-4,,,14,,,-2,,,,,, -$183k ,49,34.2,,,,,,,,,29,2,-6,,16,-4,,,14,,,-2,,,,,, -$183k ,49,34.2,,,,,,,,,29,2,-6,,16,-4,,,14,,,-2,,,,,, -$183k ,49,34.2,,,,,,,,,29,2,-6,,16,-4,,,14,,,-2,,,,,, -$183k ,49,34.2,,,,,,,,,29,2,-6,,16,-4,,,14,,,-2,,,,,, -$183k ,49,34.2,,,,,,,,,29,2,-6,,16,-4,,,14,,,-2,,,,,, -$183k ,49,34.2,,,,,,,,,29,2,-6,,16,-4,,,14,,,-2,,,,,, -$183k ,49,34.2,,,,,,,,,29,2,-6,,16,-4,,,14,,,-2,,,,,, -$183k ,49,34.2,,,,,,,,,29,2,-6,,16,-4,,,14,,,-2,,,,,, -$183k ,49,34.2,,,,,,,,,29,2,-6,,16,-4,,,14,,,-2,,,,,, -$183k ,49,34.2,,,,,,,,,29,2,-6,,16,-4,,,14,,,-2,,,,,, -$183k ,49,34.2,,,,,,,,,29,2,-6,,16,-4,,,14,,,-2,,,,,, -$183k ,49,34.2,,,,,,,,,29,2,-6,,16,-4,,,14,,,-2,,,,,, -$183k ,49,34.2,,,,,,,,,29,2,-6,,16,-4,,,14,,,-2,,,,,, -$183k ,49,34.2,,,,,,,,,29,2,-6,,16,-4,,,14,,,-2,,,,,, -$183k ,49,34.2,,,,,,,,,29,2,-6,,16,-4,,,14,,,-2,,,,,, -$183k ,49,34.2,,,,,,,,,29,2,-6,,16,-4,,,14,,,-2,,,,,, -$183k ,49,34.2,,,,,,,,,29,2,-6,,16,-4,,,14,,,-2,,,,,, -$183k ,49,34.2,,,,,,,,,29,2,-6,,16,-4,,,14,,,-2,,,,,, -$183k ,49,34.2,,,,,,,,,29,2,-6,,16,-4,,,14,,,-2,,,,,, -$183k ,49,34.2,,,,,,,,,29,2,-6,,16,-4,,,14,,,-2,,,,,, -$183k ,49,34.2,,,,,,,,,29,2,-6,,16,-4,,,14,,,-2,,,,,, -$183k ,49,34.2,,,,,,,,,29,2,-6,,16,-4,,,14,,,-2,,,,,, -$183k ,49,34.2,,,,,,,,,29,2,-6,,16,-4,,,14,,,-2,,,,,, -$183k ,49,34.2,,,,,,,,,29,2,-6,,16,-4,,,14,,,-2,,,,,, -$183k ,49,34.2,,,,,,,,,29,2,-6,,16,-4,,,14,,,-2,,,,,, -$183k ,49,34.2,,,,,,,,,29,2,-6,,16,-4,,,14,,,-2,,,,,, -$183k ,49,34.2,,,,,,,,,29,2,-6,,16,-4,,,14,,,-2,,,,,, -$183k ,49,34.2,,,,,,,,,29,2,-6,,16,-4,,,14,,,-2,,,,,
J. Fisher-Harris
PEN @ MEL | MID
$590K  |  $6k ( $6k ), $6k ,46,44.9,,,,,,,,,25,2,-2,,12,,,,9,,,,,,,,, $6k ,46,44.9,,,,,,,,,25,2,-2,,12,,,,9,,,,,,,,, $6k ,46,44.9,,,,,,,,,25,2,-2,,12,,,,9,,,,,,,,, $6k ,46,44.9,,,,,,,,,25,2,-2,,12,,,,9,,,,,,,,, $6k ,46,44.9,,,,,,,,,25,2,-2,,12,,,,9,,,,,,,,, $6k ,46,44.9,,,,,,,,,25,2,-2,,12,,,,9,,,,,,,,, $6k ,46,44.9,,,,,,,,,25,2,-2,,12,,,,9,,,,,,,,, $6k ,46,44.9,,,,,,,,,25,2,-2,,12,,,,9,,,,,,,,, $6k ,46,44.9,,,,,,,,,25,2,-2,,12,,,,9,,,,,,,,, $6k ,46,44.9,,,,,,,,,25,2,-2,,12,,,,9,,,,,,,,, $6k ,46,44.9,,,,,,,,,25,2,-2,,12,,,,9,,,,,,,,, $6k ,46,44.9,,,,,,,,,25,2,-2,,12,,,,9,,,,,,,,, $6k ,46,44.9,,,,,,,,,25,2,-2,,12,,,,9,,,,,,,,, $6k ,46,44.9,,,,,,,,,25,2,-2,,12,,,,9,,,,,,,,, $6k ,46,44.9,,,,,,,,,25,2,-2,,12,,,,9,,,,,,,,, $6k ,46,44.9,,,,,,,,,25,2,-2,,12,,,,9,,,,,,,,, $6k ,46,44.9,,,,,,,,,25,2,-2,,12,,,,9,,,,,,,,, $6k ,46,44.9,,,,,,,,,25,2,-2,,12,,,,9,,,,,,,,, $6k ,46,44.9,,,,,,,,,25,2,-2,,12,,,,9,,,,,,,,, $6k ,46,44.9,,,,,,,,,25,2,-2,,12,,,,9,,,,,,,,, $6k ,46,44.9,,,,,,,,,25,2,-2,,12,,,,9,,,,,,,,, $6k ,46,44.9,,,,,,,,,25,2,-2,,12,,,,9,,,,,,,,, $6k ,46,44.9,,,,,,,,,25,2,-2,,12,,,,9,,,,,,,,, $6k ,46,44.9,,,,,,,,,25,2,-2,,12,,,,9,,,,,,,,, $6k ,46,44.9,,,,,,,,,25,2,-2,,12,,,,9,,,,,,,,, $6k ,46,44.9,,,,,,,,,25,2,-2,,12,,,,9,,,,,,,,, $6k ,46,44.9,,,,,,,,,25,2,-2,,12,,,,9,,,,,,,,, $6k ,46,44.9,,,,,,,,,25,2,-2,,12,,,,9,,,,,,,,, $6k ,46,44.9,,,,,,,,,25,2,-2,,12,,,,9,,,,,,,,, $6k ,46,44.9,,,,,,,,,25,2,-2,,12,,,,9,,,,,,,,, $6k ,46,44.9,,,,,,,,,25,2,-2,,12,,,,9,,,,,,,,, $6k ,46,44.9,,,,,,,,,25,2,-2,,12,,,,9,,,,,,,,, $6k ,46,44.9,,,,,,,,,25,2,-2,,12,,,,9,,,,,,,,, $6k ,46,44.9,,,,,,,,,25,2,-2,,12,,,,9,,,,,,,,, $6k ,46,44.9,,,,,,,,,25,2,-2,,12,,,,9,,,,,,,,
J. King
MEL v PEN | MID
