Player,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG
W. Warbrick
MEL @ BRI | WFB
V. Vailea
NQL @ CBY | CTR
$357K  |  -$3k ( $6k ), $6k ,34,27.2,,,,,,10,,4,10,,-8,,4,-2,4,,12,,,,,,,,, $6k ,34,27.2,,,,,,10,,4,10,,-8,,4,-2,4,,12,,,,,,,,, $6k ,34,27.2,,,,,,10,,4,10,,-8,,4,-2,4,,12,,,,,,,,, $6k ,34,27.2,,,,,,10,,4,10,,-8,,4,-2,4,,12,,,,,,,,, $6k ,34,27.2,,,,,,10,,4,10,,-8,,4,-2,4,,12,,,,,,,,, $6k ,34,27.2,,,,,,10,,4,10,,-8,,4,-2,4,,12,,,,,,,,, $6k ,34,27.2,,,,,,10,,4,10,,-8,,4,-2,4,,12,,,,,,,,, $6k ,34,27.2,,,,,,10,,4,10,,-8,,4,-2,4,,12,,,,,,,,, $6k ,34,27.2,,,,,,10,,4,10,,-8,,4,-2,4,,12,,,,,,,,, $6k ,34,27.2,,,,,,10,,4,10,,-8,,4,-2,4,,12,,,,,,,,, $6k ,34,27.2,,,,,,10,,4,10,,-8,,4,-2,4,,12,,,,,,,,, $6k ,34,27.2,,,,,,10,,4,10,,-8,,4,-2,4,,12,,,,,,,,, $6k ,34,27.2,,,,,,10,,4,10,,-8,,4,-2,4,,12,,,,,,,,, $6k ,34,27.2,,,,,,10,,4,10,,-8,,4,-2,4,,12,,,,,,,,, $6k ,34,27.2,,,,,,10,,4,10,,-8,,4,-2,4,,12,,,,,,,,, $6k ,34,27.2,,,,,,10,,4,10,,-8,,4,-2,4,,12,,,,,,,,, $6k ,34,27.2,,,,,,10,,4,10,,-8,,4,-2,4,,12,,,,,,,,, $6k ,34,27.2,,,,,,10,,4,10,,-8,,4,-2,4,,12,,,,,,,,, $6k ,34,27.2,,,,,,10,,4,10,,-8,,4,-2,4,,12,,,,,,,,, $6k ,34,27.2,,,,,,10,,4,10,,-8,,4,-2,4,,12,,,,,,,,, $6k ,34,27.2,,,,,,10,,4,10,,-8,,4,-2,4,,12,,,,,,,,, $6k ,34,27.2,,,,,,10,,4,10,,-8,,4,-2,4,,12,,,,,,,,, $6k ,34,27.2,,,,,,10,,4,10,,-8,,4,-2,4,,12,,,,,,,,, $6k ,34,27.2,,,,,,10,,4,10,,-8,,4,-2,4,,12,,,,,,,,, $6k ,34,27.2,,,,,,10,,4,10,,-8,,4,-2,4,,12,,,,,,,,, $6k ,34,27.2,,,,,,10,,4,10,,-8,,4,-2,4,,12,,,,,,,,, $6k ,34,27.2,,,,,,10,,4,10,,-8,,4,-2,4,,12,,,,,,,,, $6k ,34,27.2,,,,,,10,,4,10,,-8,,4,-2,4,,12,,,,,,,,, $6k ,34,27.2,,,,,,10,,4,10,,-8,,4,-2,4,,12,,,,,,,,, $6k ,34,27.2,,,,,,10,,4,10,,-8,,4,-2,4,,12,,,,,,,,, $6k ,34,27.2,,,,,,10,,4,10,,-8,,4,-2,4,,12,,,,,,,,, $6k ,34,27.2,,,,,,10,,4,10,,-8,,4,-2,4,,12,,,,,,,,, $6k ,34,27.2,,,,,,10,,4,10,,-8,,4,-2,4,,12,,,,,,,,, $6k ,34,27.2,,,,,,10,,4,10,,-8,,4,-2,4,,12,,,,,,,,, $6k ,34,27.2,,,,,,10,,4,10,,-8,,4,-2,4,,12,,,,,,,,
B. Hayward
CBY v NQL | HLF, MID
$345K  |  $115k ( -$2k ), -$2k ,34,27.6,,,,,,,,,31,2,-2,,,-2,,,4,1,,,,,,,, -$2k ,34,27.6,,,,,,,,,31,2,-2,,,-2,,,4,1,,,,,,,, -$2k ,34,27.6,,,,,,,,,31,2,-2,,,-2,,,4,1,,,,,,,, -$2k ,34,27.6,,,,,,,,,31,2,-2,,,-2,,,4,1,,,,,,,, -$2k ,34,27.6,,,,,,,,,31,2,-2,,,-2,,,4,1,,,,,,,, -$2k ,34,27.6,,,,,,,,,31,2,-2,,,-2,,,4,1,,,,,,,, -$2k ,34,27.6,,,,,,,,,31,2,-2,,,-2,,,4,1,,,,,,,, -$2k ,34,27.6,,,,,,,,,31,2,-2,,,-2,,,4,1,,,,,,,, -$2k ,34,27.6,,,,,,,,,31,2,-2,,,-2,,,4,1,,,,,,,, -$2k ,34,27.6,,,,,,,,,31,2,-2,,,-2,,,4,1,,,,,,,, -$2k ,34,27.6,,,,,,,,,31,2,-2,,,-2,,,4,1,,,,,,,, -$2k ,34,27.6,,,,,,,,,31,2,-2,,,-2,,,4,1,,,,,,,, -$2k ,34,27.6,,,,,,,,,31,2,-2,,,-2,,,4,1,,,,,,,, -$2k ,34,27.6,,,,,,,,,31,2,-2,,,-2,,,4,1,,,,,,,, -$2k ,34,27.6,,,,,,,,,31,2,-2,,,-2,,,4,1,,,,,,,, -$2k ,34,27.6,,,,,,,,,31,2,-2,,,-2,,,4,1,,,,,,,, -$2k ,34,27.6,,,,,,,,,31,2,-2,,,-2,,,4,1,,,,,,,, -$2k ,34,27.6,,,,,,,,,31,2,-2,,,-2,,,4,1,,,,,,,, -$2k ,34,27.6,,,,,,,,,31,2,-2,,,-2,,,4,1,,,,,,,, -$2k ,34,27.6,,,,,,,,,31,2,-2,,,-2,,,4,1,,,,,,,, -$2k ,34,27.6,,,,,,,,,31,2,-2,,,-2,,,4,1,,,,,,,, -$2k ,34,27.6,,,,,,,,,31,2,-2,,,-2,,,4,1,,,,,,,, -$2k ,34,27.6,,,,,,,,,31,2,-2,,,-2,,,4,1,,,,,,,, -$2k ,34,27.6,,,,,,,,,31,2,-2,,,-2,,,4,1,,,,,,,, -$2k ,34,27.6,,,,,,,,,31,2,-2,,,-2,,,4,1,,,,,,,, -$2k ,34,27.6,,,,,,,,,31,2,-2,,,-2,,,4,1,,,,,,,, -$2k ,34,27.6,,,,,,,,,31,2,-2,,,-2,,,4,1,,,,,,,, -$2k ,34,27.6,,,,,,,,,31,2,-2,,,-2,,,4,1,,,,,,,, -$2k ,34,27.6,,,,,,,,,31,2,-2,,,-2,,,4,1,,,,,,,, -$2k ,34,27.6,,,,,,,,,31,2,-2,,,-2,,,4,1,,,,,,,, -$2k ,34,27.6,,,,,,,,,31,2,-2,,,-2,,,4,1,,,,,,,, -$2k ,34,27.6,,,,,,,,,31,2,-2,,,-2,,,4,1,,,,,,,, -$2k ,34,27.6,,,,,,,,,31,2,-2,,,-2,,,4,1,,,,,,,, -$2k ,34,27.6,,,,,,,,,31,2,-2,,,-2,,,4,1,,,,,,,, -$2k ,34,27.6,,,,,,,,,31,2,-2,,,-2,,,4,1,,,,,,,
J. Taumalolo
NQL @ CBY | MID
$386K  |  -$82k ( -$2k ), -$2k ,33,29.4,,,,,,,,,19,,,,,,,,12,,,,,,2,,, -$2k ,33,29.4,,,,,,,,,19,,,,,,,,12,,,,,,2,,, -$2k ,33,29.4,,,,,,,,,19,,,,,,,,12,,,,,,2,,, -$2k ,33,29.4,,,,,,,,,19,,,,,,,,12,,,,,,2,,, -$2k ,33,29.4,,,,,,,,,19,,,,,,,,12,,,,,,2,,, -$2k ,33,29.4,,,,,,,,,19,,,,,,,,12,,,,,,2,,, -$2k ,33,29.4,,,,,,,,,19,,,,,,,,12,,,,,,2,,, -$2k ,33,29.4,,,,,,,,,19,,,,,,,,12,,,,,,2,,, -$2k ,33,29.4,,,,,,,,,19,,,,,,,,12,,,,,,2,,, -$2k ,33,29.4,,,,,,,,,19,,,,,,,,12,,,,,,2,,, -$2k ,33,29.4,,,,,,,,,19,,,,,,,,12,,,,,,2,,, -$2k ,33,29.4,,,,,,,,,19,,,,,,,,12,,,,,,2,,, -$2k ,33,29.4,,,,,,,,,19,,,,,,,,12,,,,,,2,,, -$2k ,33,29.4,,,,,,,,,19,,,,,,,,12,,,,,,2,,, -$2k ,33,29.4,,,,,,,,,19,,,,,,,,12,,,,,,2,,, -$2k ,33,29.4,,,,,,,,,19,,,,,,,,12,,,,,,2,,, -$2k ,33,29.4,,,,,,,,,19,,,,,,,,12,,,,,,2,,, -$2k ,33,29.4,,,,,,,,,19,,,,,,,,12,,,,,,2,,, -$2k ,33,29.4,,,,,,,,,19,,,,,,,,12,,,,,,2,,, -$2k ,33,29.4,,,,,,,,,19,,,,,,,,12,,,,,,2,,, -$2k ,33,29.4,,,,,,,,,19,,,,,,,,12,,,,,,2,,, -$2k ,33,29.4,,,,,,,,,19,,,,,,,,12,,,,,,2,,, -$2k ,33,29.4,,,,,,,,,19,,,,,,,,12,,,,,,2,,, -$2k ,33,29.4,,,,,,,,,19,,,,,,,,12,,,,,,2,,, -$2k ,33,29.4,,,,,,,,,19,,,,,,,,12,,,,,,2,,, -$2k ,33,29.4,,,,,,,,,19,,,,,,,,12,,,,,,2,,, -$2k ,33,29.4,,,,,,,,,19,,,,,,,,12,,,,,,2,,, -$2k ,33,29.4,,,,,,,,,19,,,,,,,,12,,,,,,2,,, -$2k ,33,29.4,,,,,,,,,19,,,,,,,,12,,,,,,2,,, -$2k ,33,29.4,,,,,,,,,19,,,,,,,,12,,,,,,2,,, -$2k ,33,29.4,,,,,,,,,19,,,,,,,,12,,,,,,2,,, -$2k ,33,29.4,,,,,,,,,19,,,,,,,,12,,,,,,2,,, -$2k ,33,29.4,,,,,,,,,19,,,,,,,,12,,,,,,2,,, -$2k ,33,29.4,,,,,,,,,19,,,,,,,,12,,,,,,2,,, -$2k ,33,29.4,,,,,,,,,19,,,,,,,,12,,,,,,2,,
H. Edwards
NQL @ CBY | MID
$404K  |  -$106k ( -$7k ), -$7k ,32,27.8,,,,,,,,,27,,-4,,,,,,9,,,,,,,,, -$7k ,32,27.8,,,,,,,,,27,,-4,,,,,,9,,,,,,,,, -$7k ,32,27.8,,,,,,,,,27,,-4,,,,,,9,,,,,,,,, -$7k ,32,27.8,,,,,,,,,27,,-4,,,,,,9,,,,,,,,, -$7k ,32,27.8,,,,,,,,,27,,-4,,,,,,9,,,,,,,,, -$7k ,32,27.8,,,,,,,,,27,,-4,,,,,,9,,,,,,,,, -$7k ,32,27.8,,,,,,,,,27,,-4,,,,,,9,,,,,,,,, -$7k ,32,27.8,,,,,,,,,27,,-4,,,,,,9,,,,,,,,, -$7k ,32,27.8,,,,,,,,,27,,-4,,,,,,9,,,,,,,,, -$7k ,32,27.8,,,,,,,,,27,,-4,,,,,,9,,,,,,,,, -$7k ,32,27.8,,,,,,,,,27,,-4,,,,,,9,,,,,,,,, -$7k ,32,27.8,,,,,,,,,27,,-4,,,,,,9,,,,,,,,, -$7k ,32,27.8,,,,,,,,,27,,-4,,,,,,9,,,,,,,,, -$7k ,32,27.8,,,,,,,,,27,,-4,,,,,,9,,,,,,,,, -$7k ,32,27.8,,,,,,,,,27,,-4,,,,,,9,,,,,,,,, -$7k ,32,27.8,,,,,,,,,27,,-4,,,,,,9,,,,,,,,, -$7k ,32,27.8,,,,,,,,,27,,-4,,,,,,9,,,,,,,,, -$7k ,32,27.8,,,,,,,,,27,,-4,,,,,,9,,,,,,,,, -$7k ,32,27.8,,,,,,,,,27,,-4,,,,,,9,,,,,,,,, -$7k ,32,27.8,,,,,,,,,27,,-4,,,,,,9,,,,,,,,, -$7k ,32,27.8,,,,,,,,,27,,-4,,,,,,9,,,,,,,,, -$7k ,32,27.8,,,,,,,,,27,,-4,,,,,,9,,,,,,,,, -$7k ,32,27.8,,,,,,,,,27,,-4,,,,,,9,,,,,,,,, -$7k ,32,27.8,,,,,,,,,27,,-4,,,,,,9,,,,,,,,, -$7k ,32,27.8,,,,,,,,,27,,-4,,,,,,9,,,,,,,,, -$7k ,32,27.8,,,,,,,,,27,,-4,,,,,,9,,,,,,,,, -$7k ,32,27.8,,,,,,,,,27,,-4,,,,,,9,,,,,,,,, -$7k ,32,27.8,,,,,,,,,27,,-4,,,,,,9,,,,,,,,, -$7k ,32,27.8,,,,,,,,,27,,-4,,,,,,9,,,,,,,,, -$7k ,32,27.8,,,,,,,,,27,,-4,,,,,,9,,,,,,,,, -$7k ,32,27.8,,,,,,,,,27,,-4,,,,,,9,,,,,,,,, -$7k ,32,27.8,,,,,,,,,27,,-4,,,,,,9,,,,,,,,, -$7k ,32,27.8,,,,,,,,,27,,-4,,,,,,9,,,,,,,,, -$7k ,32,27.8,,,,,,,,,27,,-4,,,,,,9,,,,,,,,, -$7k ,32,27.8,,,,,,,,,27,,-4,,,,,,9,,,,,,,,
J. Sua
CBY v NQL | WFB
$244K  |  $14k ( $14k ), $14k ,31,31,,,,,,,,,3,12,,,,-2,,,17,,1,,,,,,, $14k ,31,31,,,,,,,,,3,12,,,,-2,,,17,,1,,,,,,, $14k ,31,31,,,,,,,,,3,12,,,,-2,,,17,,1,,,,,,, $14k ,31,31,,,,,,,,,3,12,,,,-2,,,17,,1,,,,,,, $14k ,31,31,,,,,,,,,3,12,,,,-2,,,17,,1,,,,,,, $14k ,31,31,,,,,,,,,3,12,,,,-2,,,17,,1,,,,,,, $14k ,31,31,,,,,,,,,3,12,,,,-2,,,17,,1,,,,,,, $14k ,31,31,,,,,,,,,3,12,,,,-2,,,17,,1,,,,,,, $14k ,31,31,,,,,,,,,3,12,,,,-2,,,17,,1,,,,,,, $14k ,31,31,,,,,,,,,3,12,,,,-2,,,17,,1,,,,,,, $14k ,31,31,,,,,,,,,3,12,,,,-2,,,17,,1,,,,,,, $14k ,31,31,,,,,,,,,3,12,,,,-2,,,17,,1,,,,,,, $14k ,31,31,,,,,,,,,3,12,,,,-2,,,17,,1,,,,,,, $14k ,31,31,,,,,,,,,3,12,,,,-2,,,17,,1,,,,,,, $14k ,31,31,,,,,,,,,3,12,,,,-2,,,17,,1,,,,,,, $14k ,31,31,,,,,,,,,3,12,,,,-2,,,17,,1,,,,,,, $14k ,31,31,,,,,,,,,3,12,,,,-2,,,17,,1,,,,,,, $14k ,31,31,,,,,,,,,3,12,,,,-2,,,17,,1,,,,,,, $14k ,31,31,,,,,,,,,3,12,,,,-2,,,17,,1,,,,,,, $14k ,31,31,,,,,,,,,3,12,,,,-2,,,17,,1,,,,,,, $14k ,31,31,,,,,,,,,3,12,,,,-2,,,17,,1,,,,,,, $14k ,31,31,,,,,,,,,3,12,,,,-2,,,17,,1,,,,,,, $14k ,31,31,,,,,,,,,3,12,,,,-2,,,17,,1,,,,,,, $14k ,31,31,,,,,,,,,3,12,,,,-2,,,17,,1,,,,,,, $14k ,31,31,,,,,,,,,3,12,,,,-2,,,17,,1,,,,,,, $14k ,31,31,,,,,,,,,3,12,,,,-2,,,17,,1,,,,,,, $14k ,31,31,,,,,,,,,3,12,,,,-2,,,17,,1,,,,,,, $14k ,31,31,,,,,,,,,3,12,,,,-2,,,17,,1,,,,,,, $14k ,31,31,,,,,,,,,3,12,,,,-2,,,17,,1,,,,,,, $14k ,31,31,,,,,,,,,3,12,,,,-2,,,17,,1,,,,,,, $14k ,31,31,,,,,,,,,3,12,,,,-2,,,17,,1,,,,,,, $14k ,31,31,,,,,,,,,3,12,,,,-2,,,17,,1,,,,,,, $14k ,31,31,,,,,,,,,3,12,,,,-2,,,17,,1,,,,,,, $14k ,31,31,,,,,,,,,3,12,,,,-2,,,17,,1,,,,,,, $14k ,31,31,,,,,,,,,3,12,,,,-2,,,17,,1,,,,,,
C. Tracey
CBY v NQL | WFB
$491K  |  -$67k ( -$32k ), -$32k ,28,37.7,,,10,,,,,2,3,4,-10,2,4,-2,,,12,,5,-2,,,,,, -$32k ,28,37.7,,,10,,,,,2,3,4,-10,2,4,-2,,,12,,5,-2,,,,,, -$32k ,28,37.7,,,10,,,,,2,3,4,-10,2,4,-2,,,12,,5,-2,,,,,, -$32k ,28,37.7,,,10,,,,,2,3,4,-10,2,4,-2,,,12,,5,-2,,,,,, -$32k ,28,37.7,,,10,,,,,2,3,4,-10,2,4,-2,,,12,,5,-2,,,,,, -$32k ,28,37.7,,,10,,,,,2,3,4,-10,2,4,-2,,,12,,5,-2,,,,,, -$32k ,28,37.7,,,10,,,,,2,3,4,-10,2,4,-2,,,12,,5,-2,,,,,, -$32k ,28,37.7,,,10,,,,,2,3,4,-10,2,4,-2,,,12,,5,-2,,,,,, -$32k ,28,37.7,,,10,,,,,2,3,4,-10,2,4,-2,,,12,,5,-2,,,,,, -$32k ,28,37.7,,,10,,,,,2,3,4,-10,2,4,-2,,,12,,5,-2,,,,,, -$32k ,28,37.7,,,10,,,,,2,3,4,-10,2,4,-2,,,12,,5,-2,,,,,, -$32k ,28,37.7,,,10,,,,,2,3,4,-10,2,4,-2,,,12,,5,-2,,,,,, -$32k ,28,37.7,,,10,,,,,2,3,4,-10,2,4,-2,,,12,,5,-2,,,,,, -$32k ,28,37.7,,,10,,,,,2,3,4,-10,2,4,-2,,,12,,5,-2,,,,,, -$32k ,28,37.7,,,10,,,,,2,3,4,-10,2,4,-2,,,12,,5,-2,,,,,, -$32k ,28,37.7,,,10,,,,,2,3,4,-10,2,4,-2,,,12,,5,-2,,,,,, -$32k ,28,37.7,,,10,,,,,2,3,4,-10,2,4,-2,,,12,,5,-2,,,,,, -$32k ,28,37.7,,,10,,,,,2,3,4,-10,2,4,-2,,,12,,5,-2,,,,,, -$32k ,28,37.7,,,10,,,,,2,3,4,-10,2,4,-2,,,12,,5,-2,,,,,, -$32k ,28,37.7,,,10,,,,,2,3,4,-10,2,4,-2,,,12,,5,-2,,,,,, -$32k ,28,37.7,,,10,,,,,2,3,4,-10,2,4,-2,,,12,,5,-2,,,,,, -$32k ,28,37.7,,,10,,,,,2,3,4,-10,2,4,-2,,,12,,5,-2,,,,,, -$32k ,28,37.7,,,10,,,,,2,3,4,-10,2,4,-2,,,12,,5,-2,,,,,, -$32k ,28,37.7,,,10,,,,,2,3,4,-10,2,4,-2,,,12,,5,-2,,,,,, -$32k ,28,37.7,,,10,,,,,2,3,4,-10,2,4,-2,,,12,,5,-2,,,,,, -$32k ,28,37.7,,,10,,,,,2,3,4,-10,2,4,-2,,,12,,5,-2,,,,,, -$32k ,28,37.7,,,10,,,,,2,3,4,-10,2,4,-2,,,12,,5,-2,,,,,, -$32k ,28,37.7,,,10,,,,,2,3,4,-10,2,4,-2,,,12,,5,-2,,,,,, -$32k ,28,37.7,,,10,,,,,2,3,4,-10,2,4,-2,,,12,,5,-2,,,,,, -$32k ,28,37.7,,,10,,,,,2,3,4,-10,2,4,-2,,,12,,5,-2,,,,,, -$32k ,28,37.7,,,10,,,,,2,3,4,-10,2,4,-2,,,12,,5,-2,,,,,, -$32k ,28,37.7,,,10,,,,,2,3,4,-10,2,4,-2,,,12,,5,-2,,,,,, -$32k ,28,37.7,,,10,,,,,2,3,4,-10,2,4,-2,,,12,,5,-2,,,,,, -$32k ,28,37.7,,,10,,,,,2,3,4,-10,2,4,-2,,,12,,5,-2,,,,,, -$32k ,28,37.7,,,10,,,,,2,3,4,-10,2,4,-2,,,12,,5,-2,,,,,
S. Crichton
CBY v NQL | CTR
